year,point,games,correct,pct_correct
1997,1,1189,647,0.5441547518923465
1997,2,1189,641,0.5391084945332212
1997,3,1189,660,0.5550883095037847
1997,4,1189,674,0.5668629100084104
1997,5,1189,682,0.5735912531539108
1997,6,1189,696,0.5853658536585366
1997,7,1189,694,0.5836837678721615
1997,8,1189,686,0.5769554247266611
1997,9,1189,715,0.6013456686291001
1997,10,1189,717,0.6030277544154752
1997,11,1189,723,0.6080740117746005
1997,12,1189,743,0.6248948696383515
1997,13,1189,728,0.6122792262405383
1997,14,1189,727,0.6114381833473507
1997,15,1189,734,0.6173254835996635
1997,16,1189,725,0.6097560975609756
1997,17,1189,736,0.6190075693860387
1997,18,1189,746,0.6274179983179142
1997,19,1189,736,0.6190075693860387
1997,20,1189,750,0.6307821698906644
1997,21,1189,749,0.6299411269974768
1997,22,1189,761,0.6400336417157275
1997,23,1189,772,0.6492851135407905
1997,24,1189,763,0.6417157275021026
1997,25,1189,778,0.6543313708999159
1997,26,1189,782,0.6576955424726662
1997,27,1189,782,0.6576955424726662
1997,28,1189,775,0.6518082422203533
1997,29,1189,776,0.6526492851135408
1997,30,1189,781,0.6568544995794785
1997,31,1189,783,0.6585365853658537
1997,32,1189,787,0.6619007569386038
1997,33,1189,805,0.6770395290159799
1997,34,1189,797,0.6703111858704794
1997,35,1189,803,0.6753574432296047
1997,36,1189,808,0.6795626576955425
1997,37,1189,830,0.6980656013456686
1997,38,1189,829,0.6972245584524811
1997,39,1189,824,0.6930193439865433
1997,40,1189,823,0.6921783010933558
1997,41,1189,832,0.6997476871320437
1997,42,1189,830,0.6980656013456686
1997,43,1189,837,0.7039529015979815
1997,44,1189,840,0.7064760302775441
1997,45,1189,837,0.7039529015979815
1997,46,1189,853,0.7174095878889823
1997,47,1189,856,0.719932716568545
1997,48,1189,871,0.7325483599663583
1997,49,1189,866,0.7283431455004206
1997,50,1189,874,0.735071488645921
1997,51,1189,883,0.7426408746846089
1997,52,1189,886,0.7451640033641715
1997,53,1189,896,0.7535744322960471
1997,54,1189,901,0.7577796467619848
1997,55,1189,897,0.7544154751892347
1997,56,1189,909,0.7645079899074853
1997,57,1189,907,0.7628259041211102
1997,58,1189,910,0.7653490328006728
1997,59,1189,911,0.7661900756938604
1997,60,1189,920,0.7737594617325484
1997,61,1189,918,0.7720773759461732
1997,62,1189,923,0.776282590412111
1997,63,1189,927,0.7796467619848613
1997,64,1189,936,0.7872161480235492
1997,65,1188,933,0.7853535353535354
1997,66,1188,946,0.7962962962962963
1997,67,1188,940,0.7912457912457912
1997,68,1188,942,0.7929292929292929
1997,69,1188,960,0.8080808080808081
1997,70,1188,962,0.8097643097643098
1997,71,1188,974,0.8198653198653199
1997,72,1187,974,0.8205560235888796
1997,73,1186,972,0.8195615514333895
1997,74,1183,989,0.8360101437024514
1997,75,1182,1000,0.8460236886632826
1997,76,1179,1002,0.8498727735368957
1997,77,1176,992,0.8435374149659864
1997,78,1174,1001,0.8526405451448041
1997,79,1167,993,0.8508997429305912
1997,80,1161,1000,0.8613264427217916
1997,81,1155,1003,0.8683982683982684
1997,82,1147,1000,0.8718395815170009
1997,83,1137,1004,0.8830255057167986
1997,84,1128,998,0.8847517730496454
1997,85,1114,996,0.8940754039497307
1997,86,1103,986,0.8939256572982774
1997,87,1090,979,0.8981651376146789
1997,88,1075,970,0.9023255813953488
1997,89,1051,948,0.9019980970504282
1997,90,1031,947,0.918525703200776
1997,91,1008,921,0.9136904761904762
1997,92,986,909,0.9219066937119675
1997,93,951,883,0.9284963196635121
1997,94,918,852,0.9281045751633987
1997,95,876,814,0.9292237442922374
1997,96,833,785,0.9423769507803121
1997,97,790,744,0.9417721518987342
1997,98,751,710,0.9454061251664447
1997,99,718,680,0.947075208913649
1997,100,677,640,0.9453471196454948
1997,101,633,603,0.95260663507109
1997,102,592,569,0.9611486486486487
1997,103,547,526,0.9616087751371115
1997,104,503,490,0.974155069582505
1997,105,470,452,0.9617021276595744
1997,106,432,416,0.9629629629629629
1997,107,391,374,0.9565217391304348
1997,108,357,346,0.969187675070028
