year,total_games,law_invoked,law_correct,pct_games_invoked,pct_law_correct
1997,82,48,43,0.5853658536585366,0.8958333333333334
1998,82,51,48,0.6219512195121951,0.9411764705882353
1999,50,28,28,0.56,1
2000,82,53,52,0.6463414634146342,0.9811320754716981
2001,82,33,30,0.4024390243902439,0.9090909090909091
2002,82,42,41,0.5121951219512195,0.9761904761904762
2003,82,43,39,0.524390243902439,0.9069767441860465
2004,82,48,47,0.5853658536585366,0.9791666666666666
2005,82,36,33,0.43902439024390244,0.9166666666666666
2006,82,43,41,0.524390243902439,0.9534883720930233
2007,82,49,46,0.5975609756097561,0.9387755102040817
2008,82,51,50,0.6219512195121951,0.9803921568627451
2009,82,54,49,0.6585365853658537,0.9074074074074074
2010,82,57,55,0.6951219512195121,0.9649122807017544
2011,82,58,56,0.7073170731707317,0.9655172413793104
2012,66,35,34,0.5303030303030303,0.9714285714285714
2013,82,56,52,0.6829268292682927,0.9285714285714286
2014,82,72,65,0.8780487804878049,0.9027777777777778
2015,82,70,67,0.8536585365853658,0.9571428571428572
2016,82,66,63,0.8048780487804879,0.9545454545454546
2017,82,70,66,0.8536585365853658,0.9428571428571428
2018,82,78,68,0.9512195121951219,0.8717948717948718
2019,82,81,73,0.9878048780487805,0.9012345679012346
