GAME_ID,WINNER,MATCHUP
0027200004,HOME,SEA @ NYK
0027200003,HOME,PHL @ CHI
0027203002,AWAY,BLT @ CLE
0027200002,AWAY,ATL @ BUF
0027200005,AWAY,BOS @ DET
0027200006,AWAY,SEA @ PHL
0027200007,AWAY,LAL @ KCK
0027200009,HOME,LAL @ BOS
0027200012,HOME,CHI @ DET
0027200011,HOME,ATL @ BLT
0027200008,AWAY,MIL @ PHX
0027200013,AWAY,SEA @ POR
0027203003,AWAY,HOU @ CLE
0027200010,AWAY,BUF @ PHL
0027200018,AWAY,MIL @ GOS
0027200017,AWAY,BOS @ CHI
0027200014,AWAY,PHX @ POR
0027200016,HOME,DET @ KCK
0027200015,AWAY,HOU @ BUF
0027203001,HOME,LAL @ NYK
0027200019,HOME,NYK @ ATL
0027200020,HOME,BLT @ PHX
0027203004,AWAY,LAL @ CLE
0027200021,HOME,BLT @ GOS
0027200022,AWAY,BOS @ ATL
0027203040,HOME,HOU @ NYK
0027200024,HOME,MIL @ POR
0027200023,HOME,PHL @ BUF
0027200025,AWAY,BLT @ KCK
0027200028,HOME,POR @ LAL
0027200026,HOME,BUF @ BOS
0027200029,AWAY,GOS @ SEA
0027200027,HOME,ATL @ HOU
0027200030,HOME,DET @ MIL
0027203005,AWAY,NYK @ CLE
0027203041,HOME,PHL @ NYK
0027200036,HOME,CLE @ DET
0027200032,AWAY,BOS @ BLT
0027200035,AWAY,CHI @ HOU
0027200031,HOME,SEA @ PHX
0027200034,AWAY,GOS @ POR
0027200033,HOME,ATL @ KCK
0027200037,AWAY,MIL @ BUF
0027200039,HOME,CHI @ LAL
0027203006,AWAY,MIL @ CLE
0027200038,HOME,POR @ SEA
0027200040,HOME,PHL @ BOS
0027200045,HOME,CLE @ NYK
0027200042,AWAY,CHI @ PHX
0027200041,AWAY,ATL @ POR
0027200044,AWAY,LAL @ KCK
0027200043,AWAY,BOS @ BUF
0027200049,AWAY,BLT @ DET
0027200046,AWAY,ATL @ SEA
0027200048,AWAY,LAL @ HOU
0027200050,HOME,BUF @ MIL
0027200047,AWAY,CLE @ PHL
0027200052,AWAY,CHI @ GOS
0027200051,AWAY,MIL @ KCK
0027200057,AWAY,GOS @ LAL
0027200055,HOME,CLE @ BOS
0027200058,AWAY,NYK @ BLT
0027200054,HOME,PHX @ SEA
0027200053,HOME,DET @ HOU
0027200056,AWAY,CHI @ POR
